block,condition,seed,draw,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,guard_activations,secs
guard,guarded,13,3,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.728407226148107,7.519599968428155,10.24800719457626,6.551563143172461,1.6419303031587824,2.054513748245017,305483.7487173938,72.79514603524957,6.848379160816726,5.473101010529275,50.88541666666667,2829.0,7165.059509515762,98.19444444444444,104.0,42595.00244140625,46.73611111111112,3068.0,10277.13807296753,6001.0,2239.8506475636937,236.15100562567903,1216.2446688594289,1255.72652165431,0.0,5760.0,1.0,False,False,complete,-1.0,92.9
signal,mahalanobis,13,3,2022,2.8595478900837885,0.2448783870590242,0.1421489719734862,0.7208192314082364,0.6292905358329582,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,3,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,2.381655223128957,15.63865247438196,13.256997251253004,5.555339470732664,2.2837994525215537,5.417858327998787,635320.2567717672,61.72599411925183,18.05952775999596,7.612664841738512,67.41319444444444,1877.0,1978.4734210968015,100.0,0.0,0.0,62.91666666666666,2136.0,4625.4020919799805,4013.0,1899.261356373441,622.7423365240099,1691.703297500374,1306.7109605036144,0.0,5760.0,1.0,False,False,complete,-1.0,99.2
guard,guarded,13,3,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5329.0,-2.040319394019625,8.143489358304235,10.18380875232386,6.019578138706311,1.6409346229278938,2.5232959906896566,330829.2551811096,66.88420154118124,8.41098663563219,5.469782076426313,58.716457121411146,2200.0,7483.711196422577,97.48545693375868,134.0,66805.34875488281,55.69525239256896,2361.0,8215.097187042236,4695.0,2057.9754317806805,290.0340221657947,1215.5071276763747,1001.3685987455004,0.0,5760.0,0.9252,True,False,env_terminated,-1.0,83.5
signal,mahalanobis,13,3,2023,2.8595478900837885,0.1281727687790855,0.1929750585342243,0.6186511190430253,0.6456564730850858,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,3,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.5062256034328493,10.948965144874965,10.442739541442116,5.014471323897332,2.552013463967525,2.8762547535772587,444801.7090105455,55.7163480433037,9.58751584525753,8.506711546558417,56.857638888888886,2485.0,2584.8010721206665,100.0,0.0,0.0,50.48611111111111,2852.0,5106.02445602417,5337.0,1714.349170113628,330.60399453706384,1890.380343814791,1682.3394308812915,0.0,5760.0,1.0,False,False,complete,-1.0,89.0
guard,guarded,13,3,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-0.8375832574861287,8.874820118769492,9.71240337625562,5.135414723674929,2.467413361699494,2.1095752908811995,360539.56732501066,57.0601635963881,7.0319176362706655,8.224711205664981,52.67361111111111,2726.0,4208.166729927063,99.46180555555556,31.0,5395.9622802734375,48.78472222222222,2950.0,7002.999401092529,5707.0,1755.6973426760867,242.4799185729588,1827.713601235464,1623.7120019606778,0.0,5760.0,1.0,False,False,complete,-1.0,87.3
signal,mahalanobis,13,4,2021,2.8595478900837885,0.214640928768914,0.2447946084257172,0.6666649918537098,0.6832633931442536,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,4,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.3782786993942526,8.21758541490238,11.595864114296637,6.611982816062236,1.782872956848809,3.20100834138559,333839.40748040925,73.46647573402484,10.670027804618634,5.942909856162697,59.75694444444445,2318.0,2312.7800397872925,99.51388888888889,28.0,6780.782958984375,54.58333333333333,2616.0,5203.593635559082,4962.0,2260.506946268968,367.931993265889,1320.646634623116,1359.4572273973831,0.0,5760.0,1.0,False,False,complete,-1.0,87.8
guard,guarded,13,4,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-3.051286587591873,7.276531339719437,10.32781792731131,6.663100874057184,1.5696805695770242,2.095036483677103,295609.08567610214,74.03445415619093,6.983454945590344,5.232268565256748,50.989583333333336,2823.0,6996.463896751404,98.35069444444444,95.0,31597.76025390625,48.020833333333336,2994.0,10087.583721160889,5912.0,2277.9832039313906,240.8087914534772,1162.726347828156,1257.986462993489,0.0,5760.0,1.0,False,False,complete,-1.0,87.6
signal,mahalanobis,13,4,2022,2.8595478900837885,0.2438583654898209,0.188913194976715,0.720550758891247,0.6511682825262075,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
