steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,test_year,secs
5211,-0.6137364375045979,14.956919071234957,15.57065550873955,7.679742401555709,2.2100368592555397,5.680876247928305,607624.83726892,85.33047112839677,18.936254159761017,7.366789530851798,75.55171752062944,1274,2099.607490539551,100.0,0,0.0,65.49606601420072,1798,4104.898857116699,3072,2625.5529566188798,652.974281418671,1637.0643390965988,678.4566415903239,10,oracle_mpc,19,2022,3761.2
5760,-3.653224369177876,16.0769961939819,19.73022056315977,7.6072779790979075,2.777157291638277,9.345785292423589,653127.9703805146,84.52531087886564,31.152617641411965,9.25719097212759,80.24305555555556,1138,1657.3480520248413,100.0,0,0.0,53.40277777777778,2684,6960.26842880249,3822,2600.778796059619,1074.2281951216364,2057.1535499089778,848.9988799752732,7,oracle_mpc,19,2023,3897.5
5704,2.7469200299753536,17.784665010665883,15.03774498069053,7.638274076888038,2.63417084573217,4.765300058070322,722502.0160583016,84.86971196542265,15.884333526901074,8.780569485773901,73.91304347826086,1488,2440.49977684021,100.0,0,0.0,69.4249649368864,1744,4076.9764709472656,3232,2611.3757516355627,547.735638227263,1951.2376629063197,732.1477481142715,10,oracle_mpc,2,2020,4365.8
5760,-6.339419061722826,16.475462778086246,22.814881839809072,8.608547229527483,2.518982735036656,11.687351875244936,669315.6753597538,95.6505247725276,38.95783958414979,8.396609116788854,76.45833333333333,1356,2075.412030220032,100.0,0,0.0,53.43750000000001,2682,6210.986324310303,4038,2943.09307087868,1343.3737784167174,1865.913138237228,756.6769499379941,5,oracle_mpc,2,2021,4166.9
5213,-0.5982889870856682,14.987791612683353,15.58608059976902,7.621285512391466,2.2120341303225373,5.752760957055017,608879.0342652611,84.68095013768296,19.175869856850056,7.373447101075125,76.05985037406484,1248,1942.2987451553345,100.0,0,0.0,64.83790523690773,1833,4173.706344604492,3081,2605.5676957970745,661.2368908468902,1638.5438006370196,675.0613227053502,10,oracle_mpc,2,2022,3842.3
5760,-3.5688370074926787,16.18685876807274,19.75569577556541,7.567688187092311,2.78235058329654,9.405657005176566,657591.137452955,84.08542430102568,31.35219001725522,9.2745019443218,79.87847222222221,1159,1679.9064016342163,100.0,0,0.0,53.19444444444444,2696,6921.636871337891,3855,2587.243825755508,1081.1100002098387,2061.000431528734,848.9216357958339,5,oracle_mpc,2,2023,3949.0
5693,2.7410459119503785,17.73826607500289,14.997220163052512,7.594348311621892,2.60348184842542,4.799390003005202,720617.0592969925,84.38164790690992,15.997966676684008,8.678272828084733,73.88020375900228,1487,2421.4854822158813,100.0,0,0.0,68.94431758299666,1768,4141.67440032959,3255,2596.3583972995507,551.6540233529731,1928.505071541552,724.7741411494003,10,oracle_mpc,3,2020,3928.7
5760,-6.488643994300468,16.432025931932035,22.920669926232502,8.678793829810541,2.5204993099461626,11.7213767864758,667551.0534847389,96.43104255345044,39.07125595491933,8.401664366487209,75.32986111111111,1421,2358.865240097046,100.0,0,0.0,53.78472222222223,2662,6266.258499145508,4083,2967.1090008626184,1347.2846882382764,1867.0365255935365,762.132824126985,9,oracle_mpc,3,2021,3811.2
5212,-0.6516200688015088,14.937665528779732,15.58928559758124,7.649028717273225,2.2033246724652438,5.73693220784277,606842.6621066766,84.9892079697025,19.123107359475902,7.344415574884144,77.35993860322333,1180,1966.050814628601,100.0,0,0.0,64.77359938603223,1836,4295.5066566467285,3016,2615.052553296044,659.4174947990889,1632.092349291455,677.5895216437284,10,oracle_mpc,3,2022,3529.9
5760,-3.730224036087337,16.13916490358772,19.869388939675066,7.57857440359606,2.793579198165193,9.497235337913809,655653.5742082512,84.20638226217845,31.65745112637936,9.311930660550644,80.15625,1143,1711.5586109161377,100.0,0,0.0,52.79513888888889,2719,7066.71842956543,3862,2590.965608020311,1091.6362452326423,2069.317923440857,841.2524309961026,5,oracle_mpc,3,2023,3657.2
