block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,physics/d2/stlsq/savgol,1,physics,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,7,42.609573704795075,4.4628940789814795,0.0,3.1567824456102147,,False,26.3
ladder,physics/d2/stlsq/kalman,1,physics,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.19633060894257,5.615952138169538,0.0,3.179944193716516,,False,27.1
ladder,physics/d2/sr3/none,1,physics,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,159,54.38994954468889,2041.8666769362458,0.55,5.1052307288545755,,False,9.7
ladder,physics/d2/sr3/savgol,1,physics,2,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.609573704795075,5.087077755231245,0.0,3.1694834104019503,,False,24.8
ladder,physics/d2/sr3/kalman,1,physics,2,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.19633060894257,5.8566465788116755,0.0,3.1829608092599195,,False,25.8
ladder,physics/d2/constrained/none,1,physics,2,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,159,54.38994954468889,2041.8666769362458,0.55,5.1052307288545755,,False,9.9
ladder,physics/d2/constrained/savgol,1,physics,2,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.609573704795075,5.087077755231245,0.0,3.1694834104019503,,False,25.0
ladder,physics/d2/constrained/kalman,1,physics,2,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.19633060894257,5.8566465788116755,0.0,3.1829608092599195,,False,25.6
ladder,physics/d2/ensemble/none,1,physics,2,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,244,54.38994954468889,933.3431058073775,0.7,4.211946428512264,,False,103.6
ladder,physics/d2/ensemble/savgol,1,physics,2,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,6,42.609573704795075,10.664090707235136,0.0,3.210277910920015,,False,80.3
ladder,physics/d2/ensemble/kalman,1,physics,2,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.19633060894257,5.626680531020953,0.0,3.1800930529008196,,False,94.8
