block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,raw/d2/ensemble/kalman,4,raw,2,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.032996259921427,5.652240053879454,0.0,3.085499718693918,,False,31.5
ladder,physics/d1/stlsq/none,4,physics,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,35,53.926128145354504,24.082568415243706,0.08333333333333333,1.680561093787419,,True,4.0
ladder,physics/d1/stlsq/savgol,4,physics,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,42.78634722918804,5.453183202459823,0.0,3.0830587095138906,,True,4.3
ladder,physics/d1/stlsq/kalman,4,physics,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,40.48781758434727,5.674000981932252,0.0,3.0857418988240153,,True,5.0
ladder,physics/d1/sr3/none,4,physics,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,17,53.926128145354504,2618.1298829944253,0.26666666666666666,2.33928658606896,,True,2.9
ladder,physics/d1/sr3/savgol,4,physics,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,42.78634722918804,4.7322060015493035,0.0,3.065263486469696,,True,4.1
ladder,physics/d1/sr3/kalman,4,physics,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,40.48781758434727,6.616285731034725,0.0,3.0935441005174305,,True,5.0
ladder,physics/d1/constrained/none,4,physics,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,17,53.926128145354504,2618.1298829944253,0.26666666666666666,2.33928658606896,,True,2.9
ladder,physics/d1/constrained/savgol,4,physics,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,42.78634722918804,4.7322060015493035,0.0,3.065263486469696,,True,3.9
ladder,physics/d1/constrained/kalman,4,physics,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,40.48781758434727,6.616285731034725,0.0,3.0935441005174305,,True,4.8
