family,condition,seed,feature_variant,xi_uboil,xi_t_uboil,xi_uboil_baseline,xi_uboil_greybox,secs,epi,viol,t_in_in_corridor_pct,t_in_violation_steps,boiler_sum,solver_failures
interaction,phys_baseline,11,physics,0.0,0.0,0.0,,77.6,3.98761087068036,8254,29.739583333333336,4047,909.3658928985122,0
interaction,phys_ko_uboil_alone,11,physics,0.0,0.0,0.0,,78.1,3.98761087068036,8254,29.739583333333336,4047,909.3658928985122,0
interaction,phys_ko_uboil_and_cross,11,physics,0.0,0.0,0.0,,77.9,3.98761087068036,8254,29.739583333333336,4047,909.3658928985122,0
main,baseline,12,physics_no_cross,0.0,,0.0,0.0412921931939694,69.5,-1.927755612290557,5060,49.23611111111112,2924,1600.657495341898,0
main,knockout,12,physics_no_cross,0.0,,0.0,0.0412921931939694,71.8,-1.927755612290557,5060,49.23611111111112,2924,1600.657495341898,0
main,knockin,12,physics_no_cross,0.0412921931939694,,0.0,0.0412921931939694,69.3,1.273088382473803,4679,59.18402777777778,2351,1646.0607787235176,0
interaction,phys_baseline,12,physics,0.0,0.0251287938989811,0.0,,74.7,1.527814886999746,5209,52.89930555555556,2713,1559.890464900485,0
interaction,phys_ko_uboil_alone,12,physics,0.0,0.0251287938989811,0.0,,74.9,1.527814886999746,5209,52.89930555555556,2713,1559.890464900485,0
interaction,phys_ko_uboil_and_cross,12,physics,0.0,0.0,0.0,,78.0,-1.6107756087413525,5490,49.40972222222222,2914,1538.740962211717,0
main,baseline,13,physics_no_cross,0.0717704962846545,,0.0717704962846545,0.0547946144978662,67.4,2.8248329833792143,4750,51.63194444444444,2786,1624.6521840481878,0
main,knockout,13,physics_no_cross,0.0,,0.0717704962846545,0.0547946144978662,70.0,-1.14983663698025,5325,44.72222222222222,3184,1530.5913663746087,0
main,knockin,13,physics_no_cross,0.0547946144978662,,0.0717704962846545,0.0547946144978662,69.9,2.596631339531005,4843,50.08680555555556,2875,1603.190082686656,0
interaction,phys_baseline,13,physics,0.0816269861632943,0.0,0.0816269861632943,,68.0,5.312406088742743,3586,65.34722222222223,1996,1911.447698270852,0
interaction,phys_ko_uboil_alone,13,physics,0.0,0.0,0.0816269861632943,,70.8,5.927300818397212,4150,53.02083333333333,2706,1785.3611101607398,0
interaction,phys_ko_uboil_and_cross,13,physics,0.0,0.0,0.0816269861632943,,71.0,5.927300818397212,4150,53.02083333333333,2706,1785.3611101607398,0
main,baseline,14,physics_no_cross,0.0,,0.0,0.0323456592473788,74.3,3.2216624329687207,4544,51.68402777777777,2783,1546.0337807643798,0
main,knockout,14,physics_no_cross,0.0,,0.0,0.0323456592473788,80.9,3.2216624329687207,4544,51.68402777777777,2783,1546.0337807643798,0
